"Segment"	"en-ZZ"	"sq-AL"	"ID"	"File"
"1324"	"Question"	"Pyetje"	"Q1M967_question_Q1itemTitle_5c9d20c9d12170.40551047_2_0"	"PISA_sqi-ALB_MAT_M967-WoodenTrainSet_en21_MS2022.xlf"
"589"	"True"	"E vërtetë"	"Q1M603_question_Q1tr1th2_5707db7b728484.85899989_0"	"PISA_sqi-ALB_MAT_M603-NumberCheck_en18_MS2022.xlf"
"1336"	"Question"	"Pyetje"	"Q2M967_question_Q2itemTitle_5c9d20c9d200d4.65185462_2_0"	"PISA_sqi-ALB_MAT_M967-WoodenTrainSet_en21_MS2022.xlf"
"1201"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt; Trego sesi e gjete përgjigjen tënde&lt;br /&gt;"	"Q3M953_question_Q3itemStem_56c6eb06a86fa5.37398704_0"	"PISA_sqi-ALB_MAT_M953-FluTest_en18_MS2022.xlf"
"80"	"&lt;br /&gt; &lt;br /&gt; Show how you found your answer.&lt;br /&gt;"	"&lt;br /&gt; &lt;br /&gt; Trego sesi e gjete përgjigjen tënde&lt;br /&gt;"	"Q3M155_question_Q3itemStem_56c6eb063158d2.70937455_0"	"PISA_sqi-ALB_MAT_M155-PopulationPyramids_en18_MS2022.xlf"
"926"	"Question"	"Pyetje"	"Q2M936_question_Q2itemTitle_5c9d20c99fb2c7.37714394_2_0"	"PISA_sqi-ALB_MAT_M936-SeatsInATheatre_en21_MS2022.xlf"
"1198"	"&lt;i&gt;Refer to &quot;Flu Test&quot; on the right. Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Referoju &quot;Testi I Gripit&quot; në të djathtë. Shtyp përgjigjen tënde për pyetjen&lt;/i&gt;"	"Q3M953_question_Q3itemDirections_56c6eb06a866c9.96605063_0"	"PISA_sqi-ALB_MAT_M953-FluTest_en18_MS2022.xlf"
"590"	"False"	"E rremë"	"Q1M603_question_Q1tr1th3_5707db7b7287c7.42696873_0"	"PISA_sqi-ALB_MAT_M603-NumberCheck_en18_MS2022.xlf"
"1066"	"Question"	"Pyetje"	"Q1M948_question_Q1itemTitle_5c9d20c9b0f9f8.16504004_2_0"	"PISA_sqi-ALB_MAT_M948-PartTimeWork_en21_MS2022.xlf"
"1259"	"Canada"	"Gjermani"	"M955_stimulus_tr4td1_56c6eb06b02140.33291357_0"	"PISA_sqi-ALB_MAT_M955-Migration_en18_MS2022.xlf"
"1080"	"Question"	"Pyetje"	"Q2M948_question_Q2itemTitle_5c9d20c9b22d87.35618831_2_0"	"PISA_sqi-ALB_MAT_M948-PartTimeWork_en21_MS2022.xlf"
"1268"	"India"	"Kanada"	"M955_stimulus_tr7td1_56c6eb06b04071.13338064_0"	"PISA_sqi-ALB_MAT_M955-Migration_en18_MS2022.xlf"
"986"	"Question"	"Pyetje"	"Q2M939_question_Q2itemTitle_5c9d20c9a98141.24201568_2_0"	"PISA_sqi-ALB_MAT_M939-Racing_en21_MS2022.xlf"
"1339"	"Click on the choices in the table to answer the question.&lt;/i&gt;"	"Klikoni mbi alteternativat në tabelë për t'ju përgjigjur pyetjes.&lt;/i&gt;"	"Q2M967_question_Q2itemDirections_5c9d20c9d20310.19323241_1_0"	"PISA_sqi-ALB_MAT_M967-WoodenTrainSet_en21_MS2022.xlf"
"914"	"Question"	"Pyetje"	"Q1M936_question_Q1itemTitle_5c9d20c99ec412.18059010_2_0"	"PISA_sqi-ALB_MAT_M936-SeatsInATheatre_en21_MS2022.xlf"
"1094"	"Question"	"Pyetje"	"Q3M948_question_Q3itemTitle_5c9d20c9b34a09.20980150_2_0"	"PISA_sqi-ALB_MAT_M948-PartTimeWork_en21_MS2022.xlf"
"973"	"Question"	"Pyetje"	"Q1M939_question_Q1itemTitle_5c9d20c9a874e8.34534053_2_0"	"PISA_sqi-ALB_MAT_M939-Racing_en21_MS2022.xlf"
"1262"	"China"	"Hollandë"	"M955_stimulus_tr5td1_56c6eb06b02b92.48805486_0"	"PISA_sqi-ALB_MAT_M955-Migration_en18_MS2022.xlf"
