"Segment"	"en-ZZ"	"sl-SI"	"ID"	"File"
"1282"	"&lt;b&gt;Flu Test&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;TEST ZA ODKRIVANJE GRIPE&lt;/b&gt;&lt;br /&gt; vprašanje"	"Q3M953_question_Q3itemTitle_50c77e71d2ede9.39141992_0"	"PISA_slv-SVN_MAT_M953-FluTest_en15_MS2022.xlf"
"1384"	"India"	"Kitajska"	"M955_stimulus_tr7td1_50c79113a0f174.82007824_0"	"PISA_slv-SVN_MAT_M955-Migration_en15_MS2022.xlf"
"889"	"140 zeds"	"140 zedov"	"M909_stimulus_t1tr6td2_50c79dafdadf99.51082571_0"	"PISA_slv-SVN_MAT_M909-SpeedingFines_en15_MS2022.xlf"
"1477"	"Yes"	"Da"	"Q3M982_question_Q3tr1th2_50c793376cad38.01134174_0"	"PISA_slv-SVN_MAT_M982-EmploymentData_en15_MS2022.xlf"
"807"	"Yes"	"Da"	"Q2M905_question_question2_6_50c79870363010.76304409_0"	"PISA_slv-SVN_MAT_M905-TennisBalls_en15_MS2022.xlf"
"1073"	"Runner A"	"Tekač A"	"Q2M939_question_question2_1_5c9d20c9a98532.97364638_0"	"PISA_slv-SVN_MAT_M939-Racing_en21_MS2022.xlf"
"1211"	"No"	"Ne"	"Q2M949_question_Q2tr1th3_50c7a9c418e452.29431623_0"	"PISA_slv-SVN_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"1076"	"Runner D"	"Tekač D"	"Q2M939_question_question2_4_5c9d20c9a988e5.03096104_0"	"PISA_slv-SVN_MAT_M939-Racing_en21_MS2022.xlf"
"1075"	"Runner C"	"Tekač C"	"Q2M939_question_question2_3_5c9d20c9a987a8.49208563_0"	"PISA_slv-SVN_MAT_M939-Racing_en21_MS2022.xlf"
"462"	"&lt;i&gt;Type your answer to the question.&lt;/i&gt;"	"&lt;i&gt;Svoj odgovor vtipkaj s pomočjo številskih tipk.&lt;/i&gt;"	"Q1M464_question_Q1itemDirections_50c7a56faa3e33.66877650_0"	"PISA_slv-SVN_MAT_M464-Fence_en15_MS2022.xlf"
"1453"	"Yes"	"Da"	"Q2M967_question_Q2tr1th2_5c9d20c9d208f1.50141356_0"	"PISA_slv-SVN_MAT_M967-WoodenTrainSet_en21_MS2022.xlf"
"783"	"No"	"Ne"	"Q1M905_question_Q1tr2th2_50c79870348a41.35213014_0"	"PISA_slv-SVN_MAT_M905-TennisBalls_en15_MS2022.xlf"
"1210"	"Yes"	"Da"	"Q2M949_question_Q2tr1th2_50c7a9c418e187.71570855_0"	"PISA_slv-SVN_MAT_M949-RoofTrussDesign_en15_MS2022.xlf"
"808"	"No"	"Ne"	"Q2M905_question_question2_7_50c79870363494.54090311_0"	"PISA_slv-SVN_MAT_M905-TennisBalls_en15_MS2022.xlf"
"1378"	"China"	"Kanada"	"M955_stimulus_tr5td1_50c79113a0dac9.96295459_0"	"PISA_slv-SVN_MAT_M955-Migration_en15_MS2022.xlf"
"63"	"&lt;b&gt;Population Pyramids&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;STAROSTNE PIRAMIDE &lt;/b&gt;&lt;br /&gt; vprašanje"	"Q2M155_question_Q2itemTitle_50c7a249819b27.55483908_0"	"PISA_slv-SVN_MAT_M155-PopulationPyramids_en15_MS2022.xlf"
