"Segment"	"en-ZZ"	"ar-SA"	"ID"	"File"
"1919"	"Medium"	"متوسط"	"sim_1_simSlopeMed_5c9d227b439bf7.99738830_0"	"PISA_ara-SAU_SCI_S615-Tsunami_en21_MS2022.xlf"
"3032"	"/"	"\"	"S645_question4_itemTitle4_5c9d227c51ef91.02908773_0"	"PISA_ara-SAU_SCI_S645-CarbonDioxideInEarthsAtmosphere_en21_MS2022.xlf"
"1459"	"/"	"\"	"S605_question1_itemTitle1_5c9d227adad463.72408306_0"	"PISA_ara-SAU_SCI_S605-GeothermalEnergy_en21_MS2022.xlf"
"3357"	"/"	"\"	"S657_question4_itemTitleqS4_5c9d227c935649.24033377_0"	"PISA_ara-SAU_SCI_S657-InvasiveSpecies_en21_MS2022.xlf"
"3303"	"/"	"\"	"S657_question1_qitemTitle1_5c9d227c8fb482.40547285_0"	"PISA_ara-SAU_SCI_S657-InvasiveSpecies_en21_MS2022.xlf"
"2904"	"/"	"\"	"question6_1_itemTitle06_5c9d227c384829.28508392_0"	"PISA_ara-SAU_SCI_S643-LightBulbs_en21_MS2022.xlf"
"1955"	"/"	"\"	"S620_question1_qitemTitle1_5c9d227b58cb88.61490320_0"	"PISA_ara-SAU_SCI_S620-Tornadoes_en21_MS2022.xlf"
"2619"	"/"	"\"	"question4_1_itemTitle04_5c9d227be7bf60.06054843_0"	"PISA_ara-SAU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"3327"	"/"	"\"	"S657_question2_itemTitleqS2_5c9d227c90dac9.19958247_0"	"PISA_ara-SAU_SCI_S657-InvasiveSpecies_en21_MS2022.xlf"
"1726"	"/"	"\"	"S608_question4_itemTitle4_5c9d227b19e274.64820868_0"	"PISA_ara-SAU_SCI_S608-Ammonoids_en21_MS2022.xlf"
"1815"	"/"	"\"	"question3_1_itemTitle03_5c9d227b399882.47737734_0"	"PISA_ara-SAU_SCI_S615-Tsunami_en21_MS2022.xlf"
"3073"	"/"	"\"	"question3_1_itemTitle03_5c9d227c5ed952.49786808_0"	"PISA_ara-SAU_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"1682"	"/"	"\"	"S608_question2_QitemTitle2_5c9d227b171942.02939826_0"	"PISA_ara-SAU_SCI_S608-Ammonoids_en21_MS2022.xlf"
"2550"	"Medium"	"متوسط"	"stimulus2_1_stimulus2_37_5c9d227be13c31.69980187_0"	"PISA_ara-SAU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1665"	"/"	"\"	"S608_question1_QitemTitle1_5c9d227b15d191.13191780_0"	"PISA_ara-SAU_SCI_S608-Ammonoids_en21_MS2022.xlf"
"2796"	"/"	"\"	"S638_question2_itemTitle2_5c9d227c1eb333.56903661_0"	"PISA_ara-SAU_SCI_S638-OilSpills_en21_MS2022.xlf"
"2333"	"/"	"\"	"S629_question4_itemTitle4_5c9d227bb01789.96774793_0"	"PISA_ara-SAU_SCI_S629-SolarCooker_en21_MS2022.xlf"
"2839"	"/"	"\"	"question1_1_itemTitle01_5c9d227c31e6c3.44186814_0"	"PISA_ara-SAU_SCI_S643-LightBulbs_en21_MS2022.xlf"
"3264"	"/"	"\"	"S648_question3_qitemTitle3_5c9d227c7d48e2.45867307_0"	"PISA_ara-SAU_SCI_S648-HabitableZone_en21_MS2022.xlf"
"1799"	"/"	"\"	"question2_1_itemTitle02_5c9d227b382e71.49660594_0"	"PISA_ara-SAU_SCI_S615-Tsunami_en21_MS2022.xlf"
"3342"	"/"	"\"	"S657_question3_itemTitleqS3_5c9d227c921946.99244971_0"	"PISA_ara-SAU_SCI_S657-InvasiveSpecies_en21_MS2022.xlf"
"1369"	"/"	"\"	"S604_question4_itemTitle4_5c9d227ac91eb7.54405416_0"	"PISA_ara-SAU_SCI_S604-WaterFromFog_en21_MS2022.xlf"
"2554"	"Low"	"منخفض"	"stimulus2_1_stimulus2_44_5c9d227be14568.23782540_0"	"PISA_ara-SAU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1855"	"/"	"\"	"question5_1_itemTitle05_5c9d227b3c30c7.53025367_0"	"PISA_ara-SAU_SCI_S615-Tsunami_en21_MS2022.xlf"
"2682"	"Medium"	"متوسط"	"js_translation_medium_5c9d227befb367.92304708_0"	"PISA_ara-SAU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1502"	"/"	"\"	"S605_question3_itemTitle3_5c9d227add6e47.27693041_0"	"PISA_ara-SAU_SCI_S605-GeothermalEnergy_en21_MS2022.xlf"
"3061"	"/"	"\"	"question2_1_itemTitle02_5c9d227c5dc274.43849426_0"	"PISA_ara-SAU_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"2555"	"Medium"	"متوسط"	"stimulus2_1_stimulus2_45_5c9d227be146a9.40941283_0"	"PISA_ara-SAU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1261"	"/"	"\"	"S603_question1_itemTitle1_5c9d227aa987e4.14715217_0"	"PISA_ara-SAU_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"2046"	"/"	"\"	"S625_question3_qitemTitle3_5c9d227b6d94b5.23009967_0"	"PISA_ara-SAU_SCI_S625-WildfiresAndTheFireTriangle_en21_MS2022.xlf"
"2570"	"/"	"\"	"S635_question1_qitemTitle1_5c9d227be309a5.69675180_0"	"PISA_ara-SAU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"3015"	"/"	"\"	"S645_question3_itemTitle3_5c9d227c50bc27.41479779_0"	"PISA_ara-SAU_SCI_S645-CarbonDioxideInEarthsAtmosphere_en21_MS2022.xlf"
"1140"	"/"	"\"	"S602_question1_qitemTitle1_5c9d227a8fa3f7.64552867_0"	"PISA_ara-SAU_SCI_S602-UrbanHeatIslandEffect_en21_MS2022.xlf"
"2272"	"/"	"\"	"S629_question1_qitemTitle1_5c9d227bab0666.97063274_0"	"PISA_ara-SAU_SCI_S629-SolarCooker_en21_MS2022.xlf"
"1303"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;أنقر على أحد الخيارات للإجابة عن السؤال &lt;/i&gt;"	"S603_question3_itemDirections3_5c9d227aadb029.42295251_0"	"PISA_ara-SAU_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"297"	"120°C"	"120‏‎ oس"	"S413_question3_q3t1tr2td2_5c3f629570c576.28495014_0"	"PISA_ara-SAU_SCI_S413-PlasticAge_en21_MS2022.xlf"
"1869"	"/"	"\"	"question6_1_itemTitle06_5c9d227b3dc9d2.63909715_0"	"PISA_ara-SAU_SCI_S615-Tsunami_en21_MS2022.xlf"
"1324"	"/"	"\"	"S603_question5_itemTitle5_5c9d227ab24909.48633067_0"	"PISA_ara-SAU_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
"2418"	"/"	"\"	"question2_1_itemTitle02_5c9d227bc2acc6.43030685_0"	"PISA_ara-SAU_SCI_S634-Vaccination_en21_MS2022.xlf"
"1353"	"/"	"\"	"S604_question2_itemTitle2_5c9d227ac59cf2.24455997_0"	"PISA_ara-SAU_SCI_S604-WaterFromFog_en21_MS2022.xlf"
"2155"	"/"	"\"	"S626_question2_itemTitle_2_5c9d227b82f270.91273717_0"	"PISA_ara-SAU_SCI_S626-SoundInMarineHabitats_en21_MS2022.xlf"
"2298"	"/"	"\"	"S629_question3_qitemTitle3_5c9d227bade340.50309154_0"	"PISA_ara-SAU_SCI_S629-SolarCooker_en21_MS2022.xlf"
"2599"	"/"	"\"	"question3_1_itemTitle03_5c9d227be62356.84522027_0"	"PISA_ara-SAU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2140"	"/"	"\"	"S626_question1_itemTitle_1_5c9d227b815342.78972715_0"	"PISA_ara-SAU_SCI_S626-SoundInMarineHabitats_en21_MS2022.xlf"
"2818"	"Can this question be answered by scientific experiments?"	"هل يمكن الإجابة عن هذا السؤال بالتجارب العلمية؟"	"S638_question4_Q4_tr1th1_5c9d227c21dcf7.10199460_0"	"PISA_ara-SAU_SCI_S638-OilSpills_en21_MS2022.xlf"
"2394"	"/"	"\"	"question1_1_itemTitle01_5c9d227bc112f5.51522343_0"	"PISA_ara-SAU_SCI_S634-Vaccination_en21_MS2022.xlf"
"24"	"milk (g)"	"ذئب (غ)"	"S326_stimulus1_t1tr1td3_5c3f6293d23ed1.78404424_2_0"	"PISA_ara-SAU_SCI_S326-Milk_en21_MS2022.xlf"
"3248"	"/"	"\"	"S648_question2_itemTitleqS2_5c9d227c7bf7b0.21177516_0"	"PISA_ara-SAU_SCI_S648-HabitableZone_en21_MS2022.xlf"
"1756"	"/"	"\"	"S610_question1_QitemTitle1_5c9d227b28e081.79884100_0"	"PISA_ara-SAU_SCI_S610-Brain-controlledRobotics_en21_MS2022.xlf"
"1516"	"/"	"\"	"S605_question4_itemTitle4_5c9d227adef202.46161085_0"	"PISA_ara-SAU_SCI_S605-GeothermalEnergy_en21_MS2022.xlf"
"2484"	"/"	"\"	"CS634_Q05_itemTitle05_5c9d227bc7ee09.86848655_0"	"PISA_ara-SAU_SCI_S634-Vaccination_en21_MS2022.xlf"
"2031"	"/"	"\"	"S625_question2_qitemTitle2_5c9d227b6c4c24.31510070_0"	"PISA_ara-SAU_SCI_S625-WildfiresAndTheFireTriangle_en21_MS2022.xlf"
"1967"	"/"	"\"	"S620_Q2_QitemTitle2_5c9d227b5a9e49.28225242_0"	"PISA_ara-SAU_SCI_S620-Tornadoes_en21_MS2022.xlf"
"1188"	"/"	"\"	"S602_question4_qitemTitle4_5c9d227a931f01.21715698_0"	"PISA_ara-SAU_SCI_S602-UrbanHeatIslandEffect_en21_MS2022.xlf"
"1766"	"/"	"\"	"S610_question2_QitemTitle2_5c9d227b2a26f1.75622601_0"	"PISA_ara-SAU_SCI_S610-Brain-controlledRobotics_en21_MS2022.xlf"
"2681"	"Low"	"منخفض"	"js_translation_low_5c9d227befabd7.87112589_0"	"PISA_ara-SAU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2224"	"/"	"\"	"S627_question2_qitemTitle2_5c9d227b9cd384.04953687_0"	"PISA_ara-SAU_SCI_S627-CarTyres_en21_MS2022.xlf"
"2873"	"/"	"\"	"question4_1_itemTitle04_5c9d227c358569.97060394_0"	"PISA_ara-SAU_SCI_S643-LightBulbs_en21_MS2022.xlf"
"2339"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each question."	"أنقر على  &lt;b&gt;نعم&lt;/b&gt; أو &lt;b&gt;لا&lt;/b&gt; لكل سؤال من الأسئلة."	"S629_question4_itemStem4_5c9d227bb01a64.85309226_6_0"	"PISA_ara-SAU_SCI_S629-SolarCooker_en21_MS2022.xlf"
"2998"	"/"	"\"	"S645_question1_itemTitle1_5c9d227c4f8946.28063676_0"	"PISA_ara-SAU_SCI_S645-CarbonDioxideInEarthsAtmosphere_en21_MS2022.xlf"
"2018"	"/"	"\"	"S625_question1_qitemTitle1_5c9d227b6b5009.63584695_0"	"PISA_ara-SAU_SCI_S625-WildfiresAndTheFireTriangle_en21_MS2022.xlf"
"3093"	"/"	"\"	"question5_1_itemTitle05_5c9d227c611cf0.49484992_0"	"PISA_ara-SAU_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"3106"	"/"	"\"	"question6_1_itemTitle06_5c9d227c627b30.67930954_0"	"PISA_ara-SAU_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"2652"	"/"	"\"	"question6_1_itemTitle06_5c9d227beaf750.48535470_0"	"PISA_ara-SAU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"2243"	"/"	"\"	"S627_question3_qitemTitle3_5c9d227b9e5419.25925675_0"	"PISA_ara-SAU_SCI_S627-CarTyres_en21_MS2022.xlf"
"3082"	"/"	"\"	"question4_1_itemTitle04_5c9d227c5fe696.44324996_0"	"PISA_ara-SAU_SCI_S646-Nanoparticles_en21_MS2022.xlf"
"2885"	"/"	"\"	"question5_1_itemTitle05_5c9d227c36dd11.12265060_0"	"PISA_ara-SAU_SCI_S643-LightBulbs_en21_MS2022.xlf"
"1841"	"/"	"\"	"question4_1_itemTitle04_5c9d227b3af156.51282498_0"	"PISA_ara-SAU_SCI_S615-Tsunami_en21_MS2022.xlf"
"2551"	"High"	"مرتفع"	"stimulus2_1_stimulus2_38_5c9d227be13d68.33588968_0"	"PISA_ara-SAU_SCI_S635-SaveTheFish_en21_MS2022.xlf"
"1302"	"/"	"\"	"S603_question3_itemTitle3_5c9d227aadad78.45209337_0"	"PISA_ara-SAU_SCI_S603-ElephantsAndAcaciaTrees_en21_MS2022.xlf"
