"Segment"	"en-ZZ"	"de-AT"	"ID"	"File"
"2525"	"Can this question be answered by scientific experiments?"	"Kann diese Frage durch naturwissenschaftliche Experimente beantwortet werden?"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_deu-AUT_SCI_S638-OilSpills_en15_MS2022.xlf"
"737"	"No"	"NEIN"	"S498_question3_question3_2_50ec5c3a1cfb28.18701058_0"	"PISA_deu-AUT_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2894"	"."	"am ähnlichsten ist."	"S648_question2_question2_1_517407af6e7441.83462875_0"	"PISA_deu-AUT_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2457"	"Medium"	"Mäßig"	"stimulus2_1_stimulus2_45_51940bae4fcf21.03581858_0"	"PISA_deu-AUT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"243"	"Low"	"gering"	"S413_question3_q3t1tr5td2_50ec4173bbaac3.23369386_0"	"PISA_deu-AUT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2458"	"High"	"Groß"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_deu-AUT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1619"	"Medium"	"Mittel"	"sim_1_simSlopeMed_5193d35634cca0.37401536_0"	"PISA_deu-AUT_SCI_S615-Tsunami_en15_MS2022.xlf"
"276"	"Resistance to UV-radiation"	"Beständigkeit gegenüber UV- Strahlung"	"S413_question3_q3t4tr5td1_50ec4173bc4035.71553506_0"	"PISA_deu-AUT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"264"	"Low"	"gering"	"S413_question3_q3t3tr4td2_50ec4173bc02e6.89415143_0"	"PISA_deu-AUT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2585"	"In this simulation, you will be able to see how different types of light bulbs with different power levels function. The light bulb tester will show the amount of light output (measured in lumens) as well as the light bulb's efficiency (measured in lumens per watt)."	"In dieser Simulation kannst du sehen, wie unterschiedliche Lampenarten mit unterschiedlicher Leistung funktionieren. Der Lampentester zeigt die Lichtmenge (gemessen in Lumen) sowie die Effizienz der Lampe (gemessen in Lumen pro Watt)."	"question2_1_Q02P1_51940c1020aec2.48208157_0"	"PISA_deu-AUT_SCI_S643-LightBulbs_en15_MS2022.xlf"
"2739"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Kohlenstoffdioxid in der Erdatmosphäre&lt;/b&gt;&lt;br /&gt; Frage"	"S645_question5_itemTitle5_5180507a837bb1.50024156_0"	"PISA_deu-AUT_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"2234"	"Delete a row of data to run another trial."	"Lösche eine Datenzeile, um einen weiteren Versuch zu starten."	"js_translation_deleteMsg_51940bae3450d3.30215634_0"	"PISA_deu-AUT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2890"	"Venus"	"der Venus"	"S648_question2_o2_1_517407af6e60f7.56539481_0"	"PISA_deu-AUT_SCI_S648-HabitableZone_en15_MS2022.xlf"
"242"	"Resistance to UV-radiation"	"Beständigkeit gegenüber UV- Strahlung"	"S413_question3_q3t1tr5td1_50ec4173bba6d1.08097437_0"	"PISA_deu-AUT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2112"	"&lt;b&gt;Recovered/Vaccinated:&lt;/b&gt; Individuals in this state either had the disease and then recovered from it or have been vaccinated to prevent the disease. In the simulation, these individuals cannot get the disease."	"&lt;b&gt;Genesen/Geimpft:&lt;/b&gt; Personen in diesem Zustand hatten entweder die Krankheit und wurden wieder gesund oder sie wurden zur Vorbeugung geimpft. In der Simulation können diese Personen die Krankheit nicht bekommen."	"question000_1_t1tr3td2_5193fde59921c3.30526260_0"	"PISA_deu-AUT_SCI_S634-Vaccination_en15_MS2022.xlf"
"2371"	"increase"	"zunehmen"	"question5_1_o5_1_51940bae44b359.11003691_0"	"PISA_deu-AUT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"976"	"Rural"	"Ländlich"	"S602_stimulus2_le3_515e3a71f29bc9.05626063_0"	"PISA_deu-AUT_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"262"	"High"	"hoch"	"S413_question3_q3t3tr3td2_50ec4173bbfac8.74520592_0"	"PISA_deu-AUT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"1066"	"Elephants and Acacia Trees"	"Elefanten und Akazienbäume"	"S603_stimulus1_title1_515e3a720f0d05.94739019_0"	"PISA_deu-AUT_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2777"	"To select a row of data to answer a question, click anywhere on that row. The row(s) you select will be marked with a star."	"Um eine Datenzeile zum Beantworten einer Frage auszuwählen, klicke auf eine beliebige Stelle in dieser Zeile. Die Zeile(n), die du auswählst, wird (werden) mit einem Stern markiert."	"menu_1_menuP5_51940c10332141.68408868_0"	"PISA_deu-AUT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2375"	"increase"	"zunehmen"	"question5_1_o5b_1_51940bae44bde1.09195708_0"	"PISA_deu-AUT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2774"	"The Run button to display the results."	"Die Schaltfläche „Start“, um die Ergebnisse anzuzeigen."	"menu_1_menuLi3_51940c103317a2.93942447_0"	"PISA_deu-AUT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"2452"	"Medium"	"Mäßig"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_deu-AUT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2340"	"increase"	"zunehmen"	"question3_1_o3_1_51940bae404654.16466940_0"	"PISA_deu-AUT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"253"	"Resistance to UV-radiation"	"Beständigkeit gegenüber UV- Strahlung"	"S413_question3_q3t2tr5td1_50ec4173bbd529.27866552_0"	"PISA_deu-AUT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"792"	"The use of science to predict natural disasters"	"Mit Hilfe der Wissenschaft Naturkatastrophen vorhersagen"	"S514_question3_tr2td1_50ed29244aab11.85183547_0"	"PISA_deu-AUT_SCI_S514-DevelopmentAndDisaster_en15_MS2022.xlf"
"250"	"High"	"hoch"	"S413_question3_q3t2tr3td2_50ec4173bbc962.78071768_0"	"PISA_deu-AUT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"936"	"lower"	"niedriger"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_deu-AUT_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"266"	"High"	"hoch"	"S413_question3_q3t3tr5td2_50ec4173bc0ad7.50218216_0"	"PISA_deu-AUT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2891"	"Earth"	"der Erde"	"S648_question2_o2_2_517407af6e6596.27901263_0"	"PISA_deu-AUT_SCI_S648-HabitableZone_en15_MS2022.xlf"
"1308"	"increase"	"steigen wird"	"S607_question3_S607Q03SELECT21_5174071346a174.96935374_0"	"PISA_deu-AUT_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2734"	"&lt;b&gt;Carbon Dioxide in Earth's Atmosphere&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt; Kohlenstoffdioxid in der Erdatmosphäre&lt;/b&gt;&lt;br /&gt; Frage"	"S645_question4_itemTitle4_5180507a81f077.18602071_0"	"PISA_deu-AUT_SCI_S645-CarbonDioxideInEarthsAtmosphere_en15_MS2022.xlf"
"1309"	"decrease"	"sinken wird"	"S607_question3_S607Q03SELECT22_5174071346a6b7.14780014_0"	"PISA_deu-AUT_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"245"	"Low"	"gering"	"S413_question3_q3t1tr6td2_50ec4173bbb329.53956502_0"	"PISA_deu-AUT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2345"	"decrease"	"abnehmen"	"question3_1_o3b_2_51940bae405248.03074236_0"	"PISA_deu-AUT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2246"	"High"	"Groß"	"js_translation_high_51940bae34b560.40161506_0"	"PISA_deu-AUT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2893"	"Uranus"	"dem Uranus"	"S648_question2_o2_4_517407af6e7012.47104548_0"	"PISA_deu-AUT_SCI_S648-HabitableZone_en15_MS2022.xlf"
"2768"	"Delete some data to run more trials."	"Lösche einige Daten, um weitere Versuche zu starten."	"js_translation_deleteMsg_51940c10312124.83384997_0"	"PISA_deu-AUT_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"645"	"Bacteria"	"Bakterien"	"S478_question1_question1_3_50ed1cc3e8b7e2.96989913_0"	"PISA_deu-AUT_SCI_S478-Antibiotics_en15_MS2022.xlf"
"1310"	"stay the same"	"gleich bleiben wird"	"S607_question3_S607Q03SELECT23_5174071346abe7.58595054_0"	"PISA_deu-AUT_SCI_S607-BirdsAndCaterpillars_en15_MS2022.xlf"
"2344"	"increase"	"zunehmen"	"question3_1_o3b_1_51940bae404fe9.18189162_0"	"PISA_deu-AUT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1523"	"Medium"	"Mittel"	"js_translation_slopeMedium_5193d356223111.88387023_0"	"PISA_deu-AUT_SCI_S615-Tsunami_en15_MS2022.xlf"
"252"	"High"	"hoch"	"S413_question3_q3t2tr4td2_50ec4173bbd093.89171650_0"	"PISA_deu-AUT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2376"	"decrease"	"abnehmen"	"question5_1_o5b_2_51940bae44c087.97376885_0"	"PISA_deu-AUT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2372"	"decrease"	"abnehmen"	"question5_1_o5_2_51940bae44b5e8.31917190_0"	"PISA_deu-AUT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"935"	"higher"	"höher"	"S602_question4_S602Q04SELECT31_515e3a71ecfa31.57124397_0"	"PISA_deu-AUT_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"279"	"Low"	"gering"	"S413_question3_q3t4tr6td2_50ec4173bc4cc0.22230998_0"	"PISA_deu-AUT_SCI_S413-PlasticAge_en15_MS2022.xlf"
"736"	"Yes"	"JA"	"S498_question3_question3_1_50ec5c3a1cf742.67592111_0"	"PISA_deu-AUT_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"2245"	"Medium"	"Mäßig"	"js_translation_medium_51940bae34af50.64653790_0"	"PISA_deu-AUT_SCI_S635-SaveTheFish_en15_MS2022.xlf"
