"Segment"	"en-ZZ"	"zh-HK"	"ID"	"File"
"2525"	"Can this question be answered by scientific experiments?"	"這問題是否可以利用科學實驗來解答？"	"S638_question4_Q4_tr1th1_51804fe1883fb9.47923889_0"	"PISA_zho-HKG_SCI_S638-OilSpills_en15_MS2022.xlf"
"2243"	"None"	"沒有"	"js_translation_none_51940bae34a2a5.02729819_0"	"PISA_zho-HKG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1029"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;點擊一個選擇來回答本題。&lt;/i&gt;"	"S603_question3_itemDirections3_515e3a72087b46.40019747_0"	"PISA_zho-HKG_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"586"	"No"	"否"	"S466_question1_tr1th3_1_50ed244f8bc603.66563378_0"	"PISA_zho-HKG_SCI_S466-ForestFires_en15_MS2022.xlf"
"2450"	"None"	"沒有"	"stimulus2_1_stimulus2_35_51940bae4fb0c7.49763146_0"	"PISA_zho-HKG_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2586"	"To see how all the controls in this simulation work, follow these steps:"	"按照以下步驟，看看所有控制項目在這模擬中如何運作："	"question2_1_Q02P2_51940c1020b465.51317902_0"	"PISA_zho-HKG_SCI_S643-LightBulbs_en15_MS2022.xlf"
"1138"	"Explain why.&lt;br /&gt;"	"請解釋。&lt;br /&gt;"	"S604_question4_q45_51804e6bc71e39.55952968_0"	"PISA_zho-HKG_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"707"	"Yes"	"是"	"S498_question1_tr1th2_50ec5d794dfc73.08116124_0"	"PISA_zho-HKG_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
"1055"	"&lt;i&gt;Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;點擊一個選擇來回答本題。&lt;/i&gt;"	"S603_question5_itemDirections5_515e3a720ccc26.65539143_0"	"PISA_zho-HKG_SCI_S603-ElephantsAndAcaciaTrees_en15_MS2022.xlf"
"2782"	"&lt;b&gt;Nanoparticles&lt;/b&gt;&lt;br /&gt; Introduction"	"&lt;b&gt;納米粒子&lt;/b&gt;&lt;br /&gt;簡介"	"question1_1_itemTitle01_51940c1035ac53.75462781_0"	"PISA_zho-HKG_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"116"	"Yes"	"是"	"S408_question3_tr1th2_50ec3abd41a866.02116048_0"	"PISA_zho-HKG_SCI_S408-WildOatGrass_en15_MS2022.xlf"
"2976"	"Caterpillar"	"幼蟲"	"S657_question1_source1_518050dc4065d2.43433896_0"	"PISA_zho-HKG_SCI_S657-InvasiveSpecies_en15_MS2022.xlf"
"2768"	"Delete some data to run more trials."	"請删去部分數據以進行更多試驗。"	"js_translation_deleteMsg_51940c10312124.83384997_0"	"PISA_zho-HKG_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"603"	"No"	"否"	"S466_question2_tr1th3_2_50ed244f8d67d5.04886200_0"	"PISA_zho-HKG_SCI_S466-ForestFires_en15_MS2022.xlf"
"2108"	"This simulation allows you to explore the effect of a vaccination on the spread of an infectious disease in a population of people exposed to the disease."	"這個模擬讓你探究在接觸某傳染病的人群，疫苗接種對傳染病傳播的影響。"	"question000_1_q000P1_5193fde5990cf3.01147251_0"	"PISA_zho-HKG_SCI_S634-Vaccination_en15_MS2022.xlf"
"2683"	"Good!&lt;br /&gt; Please click on the NEXT arrow to continue."	"好!&lt;br /&gt; 請點擊「下一頁」的箭號來繼續。"	"sim_1_dialogMsgText2_51940c102b9894.02724093_0"	"PISA_zho-HKG_SCI_S643-LightBulbs_en15_MS2022.xlf"
"291"	"Yes"	"是"	"S415_question1_tr1th2_1_50ec3dee1884a4.67727324_0"	"PISA_zho-HKG_SCI_S415-SolarPowerGeneration_en15_MS2022.xlf"
"736"	"Yes"	"是"	"S498_question3_question3_1_50ec5d795120a6.00130653_0"	"PISA_zho-HKG_SCI_S498-ExperimentalDigestion_en15_MS2022.xlf"
