"Segment"	"en-ZZ"	"sq-XK"	"ID"	"File"
"2172"	"Introduction"	"Hyrje"	"q00abody_itemTitle00_56fc782df3de96.43629272_1_0"	"PISA_sqi-KSV_REA_R547-BookSurvey_en18_MS2022.xlf"
"4537"	"Refer to the different webpages of the website on the right."	"Referoju ueb-faqeve të ndryshme në ueb-sajtin në të djathtë."	"R563_question08_q08itemDirections_56fc786b49ca39.25233524_0_0"	"PISA_sqi-KSV_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"4208"	"Introduction"	"Hyrje"	"q00body_itemTitle00_56fc783b3f8715.72792534_1_0"	"PISA_sqi-KSV_REA_R562-OpeningNight_en18_MS2022.xlf"
"5598"	"Who's in the Chat"	"Kush është në Bisedë"	"R569_stimulus1_chatMemberListTitle2_56fc787947dab7.14177325_0"	"PISA_sqi-KSV_REA_R569-TheCleanup_en18_MS2022.xlf"
"3734"	"Click on a choice to answer the question."	"Kliko një alternativë për t’iu përgjigjur pyetjes."	"R559_question02_q02itemDirections_56fc783b259b76.36684830_1_0"	"PISA_sqi-KSV_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"1891"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Kliko ose tek &lt;b&gt;Po&lt;/b&gt; ose &lt;b&gt;Jo&lt;/b&gt; për çdo thënie."	"R544_question4_question4_1_56fc78217b0235.67596425_1_0"	"PISA_sqi-KSV_REA_R544-Tesla_en18_MS2022.xlf"
"2037"	"False"	"E Gabuar"	"R545_question03_Q03tr1th3_56fc7821ad93b8.10756218_0"	"PISA_sqi-KSV_REA_R545-MachuPicchu_en18_MS2022.xlf"
"4519"	"Click on one or more boxes to answer the question."	"Kliko një apo më shumë kuti për t'u përgjigjur pyetjes."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_1_0"	"PISA_sqi-KSV_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"1593"	"Question"	"Pyetje"	"R543_question11_itemTitle_56fc782133d334.84623438_1_0"	"PISA_sqi-KSV_REA_R543-Nobel_en18_MS2022.xlf"
"1246"	"True"	"E Vërtetë"	"Q07_question_tr1th2_56fc7820d48a65.56061412_0"	"PISA_sqi-KSV_REA_R541-Plastic_en18_MS2022.xlf"
"3762"	"Click on a choice to answer the question."	"Kliko një alternativë për t’iu përgjigjur pyetjes."	"R559_question04_q04itemDirections_56fc783b27f456.31679060_1_0"	"PISA_sqi-KSV_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"1457"	"Question"	"Pyetje"	"Q08R542_question_Q08itemTitle_56fc78211029f0.35437122_1_0"	"PISA_sqi-KSV_REA_R542-BulletinBoard_en18_MS2022.xlf"
"1782"	"Click on the NEXT arrow to read the first source."	"Kliko  shigjetën TJETËR për të lexuar burimin e parë."	"question0a_1_q00p2_56fc782164ea92.65756040_0"	"PISA_sqi-KSV_REA_R544-Tesla_en18_MS2022.xlf"
"3151"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Lexo informacionin e mëposhtëm."	"question00b_1_itemDirections0b_56fc784a5b0b61.65001921_0_0"	"PISA_sqi-KSV_REA_R553-HealthForum_en18_MS2022.xlf"
