"Segment"	"en-ZZ"	"is-IS"	"ID"	"File"
"2990"	"Using the number keys, type your answers to the question."	"Svaraðu spurningunum með því að rita tölu í reitinn."	"MA133Q02_question_q2itemDirections_5c9d2164239bf8.41097975_1_0"	"PISA_isl-ISL_MAT_MA133-ArrangingTables_en21_MS2022.xlf"
"4580"	"D"	"F"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_isl-ISL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4011"	"Click on a choice and then type an explanation to answer the question."	"Smelltu á valmöguleika og ritaðu síðan útskýringu til að svara spurningunni."	"MA146q3_question_q3itemDirections_5c9d2164ee45c4.14040171_1_0"	"PISA_isl-ISL_MAT_MA146-Fuel_en21_MS2022.xlf"
"3217"	"Using the number keys, type your answers to the question."	"Svaraðu spurningunum með því að rita tölu í reitinn."	"Q2MA134_question_Q2ItmDirP1Id_5c9d216433ba20.91339777_1_0"	"PISA_isl-ISL_MAT_MA134-CarAndBicycleOwnership_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Fylgdu þessum skrefum til að nota reiknivélina:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_isl-ISL_MAT_MA112-Metabolism_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Fylgdu þessum skrefum til að nota reiknivélina:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_isl-ISL_MAT_MA112-Metabolism_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_isl-ISL_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4598"	"A"	"S"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_isl-ISL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4265"	"Click on a choice and then type an explanation to answer the question."	"Smelltu á valmöguleika og ritaðu síðan útskýringu til að svara spurningunni."	"q3MA149_question_q3itemDirections_5c9d21652d7289.76917872_1_0"	"PISA_isl-ISL_MAT_MA149-FloorArea_en21_MS2022.xlf"
"3812"	"269 kJ"	"276 kJ"	"MA144_stimulusa_r3c2_5c9d2164cb19e8.95739034_0"	"PISA_isl-ISL_MAT_MA144-Yogurt_en21_MS2022.xlf"
"4702"	"Truck"	"Pallbíl"	"q2MA157_question_question02_7_5c9d216572f717.86101949_0"	"PISA_isl-ISL_MAT_MA157-Tyres_en21_MS2022.xlf"
"4778"	"Click on a choice and then type an explanation to answer the question."	"Smelltu á valmöguleika og ritaðu síðan útskýringu til að svara spurningunni."	"q3MA158_question_q3itemDirections_5c9d21657e1f71.24263233_1_0"	"PISA_isl-ISL_MAT_MA158-EyeColour_en21_MS2022.xlf"
"419"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Smelltu á annaðhvort &lt;b&gt;Rétt&lt;/b&gt; eða &lt;b&gt;Rangt&lt;/b&gt; fyrir hverja staðhæfingu um sig í töflunni hér fyrir neðan."	"M105_question4_q4p1_5c9d213673d014.22578819_1_0"	"PISA_isl-ISL_MAT_MA105-CleanEnergy_en21_MS2022.xlf"
"3372"	"Click on a choice and then type an explanation to answer the question."	"Smelltu á valmöguleika og ritaðu síðan útskýringu til að svara spurningunni."	"MA136_question02_q2itemDirections_5c9d216461f9f0.70778441_1_0"	"PISA_isl-ISL_MAT_MA136-MovieRewards_en21_MS2022.xlf"
"4591"	"A"	"S"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_isl-ISL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4581"	"A"	"S"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_isl-ISL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1545"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Mundu að velja &lt;b&gt;einn eða fleiri&lt;/b&gt; reiti."	"MA120_question2_Q02p3_5c9d214ae38a80.91484290_0"	"PISA_isl-ISL_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"5075"	"Statement"	"Spurning"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_isl-ISL_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"4699"	"Car"	"Fólksbíl"	"q2MA157_question_question02_4_5c9d216572f050.52985827_0"	"PISA_isl-ISL_MAT_MA157-Tyres_en21_MS2022.xlf"
"4701"	"Motorcycle"	"Mótorhjóli"	"q2MA157_question_question02_6_5c9d216572f4d8.24396304_0"	"PISA_isl-ISL_MAT_MA157-Tyres_en21_MS2022.xlf"
"4627"	"Click on a choice and then type an explanation to answer the question."	"Smelltu á valmöguleika og ritaðu síðan útskýringu til að svara spurningunni."	"q3MA154_question_q3itemDirections_5c9d21655e7133.54272172_1_0"	"PISA_isl-ISL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4590"	"D"	"F"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_isl-ISL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3981"	"Litres"	"Lítrar"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_isl-ISL_MAT_MA146-Fuel_en21_MS2022.xlf"
"1132"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each of the statements in the table below."	"Smelltu á annaðhvort &lt;b&gt;Rétt&lt;/b&gt; eða &lt;b&gt;Rangt&lt;/b&gt; fyrir hverja staðhæfingu í töflunni hér fyrir neðan."	"Q02MA113_question_Q02P2_5c9d214a6c3ca7.40682286_0"	"PISA_isl-ISL_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4306"	"Click on a choice and then type an explanation to answer the question."	"Smelltu á valmöguleika og ritaðu síðan útskýringu til að svara spurningunni."	"q3MA150_question_q3itemDirections_5c9d216539ff89.14130320_1_0"	"PISA_isl-ISL_MAT_MA150-TriangularPattern_en21_MS2022.xlf"
"3721"	"Type your answer to the question."	"Ritaðu svar þitt við spurningunni."	"MA142_questionq2_q2itemDirections_5c9d2164b45da3.19087883_1_0"	"PISA_isl-ISL_MAT_MA142-WaterReservoir_en21_MS2022.xlf"
"1558"	"✓ Remember to select &lt;b&gt;one or more&lt;/b&gt; boxes."	"✔ Mundu að velja &lt;b&gt;einn eða fleiri&lt;/b&gt; reiti."	"MA120_question3_Q03p3_5c9d214ae4afb4.01507702_0"	"PISA_isl-ISL_MAT_MA120-NumberCubes_en21_MS2022.xlf"
"5190"	"Click on a choice and then type an explanation to answer the question."	"Smelltu á valmöguleika og skrifaðu síðan útskýringu til að svara spurningunni."	"q4MA161_question_q4itemDirections_5c9d2137a76b55.99656517_2_0"	"PISA_isl-ISL_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Smelltu á tvo reiti til að svara spurningunni."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_isl-ISL_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"4577"	"D"	"F"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_isl-ISL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4646"	"Click on a choice and then type an explanation to answer the question."	"Smelltu á valmöguleika og ritaðu síðan útskýringu til að svara spurningunni."	"q1MA156_question_q1itemDirections_5c9d21656932b0.11712938_1_0"	"PISA_isl-ISL_MAT_MA156-Points_en21_MS2022.xlf"
"4202"	"Click on a choice and then type an explanation to answer the question."	"Smelltu á valmöguleika og ritaðu síðan útskýringu til að svara spurningunni."	"q3MA148_question_q3itemDirections_5c9d21651d9930.88789683_1_0"	"PISA_isl-ISL_MAT_MA148-ChanceOfRain_en21_MS2022.xlf"
"531"	"Refer to the information on the right by clicking on each of the tabs."	"Skoðaðu upplýsingarnar hér til hægri með því að smella á hvern flipa fyrir sig."	"MA107Q03_question_q03itemDirections_5c9d2136b186a6.26373777_0_0"	"PISA_isl-ISL_MAT_MA107-FieldOfVision_en21_MS2022.xlf"
"4597"	"D"	"F"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_isl-ISL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4578"	"A"	"S"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_isl-ISL_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
