"Segment"	"en-ZZ"	"es-CO"	"ID"	"File"
"5648"	"Read the information below."	"Lee la información a continuación."	"q0b-body_q0b-itemDirections_56fc784ab20015.89980695_0_0"	"PISA_esp-COL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5012"	"Read the information below."	"Lee la información a continuación."	"q00c-body_q00c-itemDirections_56fc786b7db3f5.52043399_0_0"	"PISA_esp-COL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2101"	"Is the statement true or false?"	"¿Es la afirmación verdadera o falsa?"	"R545_question03_Q03tr1th1_56fc7821ad8e59.97792072_0"	"PISA_esp-COL_REA_R545-MachuPicchu_en18_MS2022.xlf"
"506"	"courageously"	"valientemente"	"R220_stimulus_stimulusH_9_50d37503c9c8a2.57415171_0"	"PISA_esp-COL_REA_R220-SouthPole_en15_MS2022.xlf"
"4334"	"Click on a choice and then type an explanation to answer the question."	"Después, haz clic en una opción y escribe una explicación que respalde tu respuesta."	"R562_question06_q06itemDirections_56fc783b465e44.74175451_1_0"	"PISA_esp-COL_REA_R562-OpeningNight_en18_MS2022.xlf"
"5602"	"Click on either &lt;b&gt;Yes&lt;/b&gt; or &lt;b&gt;No&lt;/b&gt; for each statement."	"Haz clic en &lt;b&gt;Sí&lt;/b&gt; o &lt;b&gt;No&lt;/b&gt;, según cada afirmación."	"R568_question07_q07p1_56fc784aab9828.09212164_1_0"	"PISA_esp-COL_REA_R568-SpaceDebris_en18_MS2022.xlf"
"304"	"S"	"D"	"R219_stimulus_stimulus_10_50d36e3d78a340.95220950_0"	"PISA_esp-COL_REA_R219-Employment_en15_MS2022.xlf"
"4028"	"Read the information below."	"Lee la información a continuación."	"q00bbody_q00bitemDirections_56fc784a8325e9.36857198_0_0"	"PISA_esp-COL_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4020"	"Read the Introduction."	"Lee la introducción."	"q00abody_q00aitemDirections_56fc784a8205f2.33738515_0_0"	"PISA_esp-COL_REA_R560-GarbagePatch_en18_MS2022.xlf"
"4916"	"Type your answer to the question.&lt;/i&gt;"	"Escribe la respuesta a la pregunta.&lt;/i&gt;"	"R565_question9_itemDirections_56fc785d64abb5.53582901_1_0"	"PISA_esp-COL_REA_R565-SittingDisease_en18_MS2022.xlf"
"1056"	"Given Name:"	"Nombre:"	"R466_stimulus_line8_50d37bac5a05d5.83588909_0"	"PISA_esp-COL_REA_R466-WorkRight_en15_MS2022.xlf"
"5286"	"Refer to the Web Search on the right."	"Continúa tu búsqueda en internet."	"R567_question06_q06itemDirections_56fc7879127de3.09243109_0_0"	"PISA_esp-COL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"1054"	"Name:"	"Apellidos:"	"R466_stimulus_s2line7_50d37bac59fef7.09322337_0"	"PISA_esp-COL_REA_R466-WorkRight_en15_MS2022.xlf"
"5215"	"Click on one or more boxes to answer the question."	"Después, haz clic en una o más opciones, según sea el caso."	"R567_question01_q01itemDirections_56fc78790bba85.72707001_1_0"	"PISA_esp-COL_REA_R567-SmokeJumpers_en18_MS2022.xlf"
"4206"	"Click on a choice and then type an explanation to answer the question."	"Luego, haz clic en una opción y después escribe una explicación para responder a la pregunta."	"R561_question07_q07itemDirections_56fc785d30dd05.49847214_1_0"	"PISA_esp-COL_REA_R561-OlympicFlag_en18_MS2022.xlf"
"1993"	"Click on a choice and then type an explanation to answer the question.&lt;/i&gt;"	"Después, haz clic en una opción y escribe una explicación que respalde tu respuesta.&lt;/i&gt;"	"R544_question6_itemDirections_56fc78217e75b4.12434036_1_0"	"PISA_esp-COL_REA_R544-Tesla_en18_MS2022.xlf"
"4632"	"Type your answers to the questions."	"Escribe tus respuestas a la pregunta."	"R563_question10_q10itemDirections_56fc786b4e31f5.41702157_1_0"	"PISA_esp-COL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
