"Segment"	"en-ZZ"	"pl-PL"	"ID"	"File"
"4584"	"Refer to the different webpages of the website on the right."	"&lt;i&gt; Zapoznaj się z podstronami strony internetowej po prawej stronie."	"R563_question07_q07itemDirections_56fc786b47b763.06450393_0_0"	"PISA_pol-POL_REA_R563-QuestionOfTheWeek_en18_MS2022.xlf"
"3920"	"Japan"	"Japonia"	"R560_stimulus2_label-kuroshio_56fc784a779447.40779887_0"	"PISA_pol-POL_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2847"	"Click on a choice to answer the question."	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R550_question05_q05itemDirections_56fc785ce59224.28868554_1_0"	"PISA_pol-POL_REA_R550-CliffPalace_en18_MS2022.xlf"
"3994"	"Click on a choice to answer the question."	"Kliknij, aby wybrać odpowiedź. &lt;/i&gt;"	"R560_question06_q06itemDirections_56fc784a7f68d8.83936530_1_0"	"PISA_pol-POL_REA_R560-GarbagePatch_en18_MS2022.xlf"
"2125"	"Refer to “Visit Majestic Machu Picchu” on the right."	"Zapoznaj się z tekstem &quot;Odkryj cuda Machu Picchu&quot; po prawej stronie."	"R545_question02_Q06itemDirections_56fc7821b05912.78337269_0_0"	"PISA_pol-POL_REA_R545-MachuPicchu_en18_MS2022.xlf"
"5923"	"Read the Introduction."	"&lt;i&gt;Przeczytaj wstęp."	"q00a-body_q00a-itemDirections_56fc787974a2a3.06881981_0_0"	"PISA_pol-POL_REA_R570-TheFavour_en18_MS2022.xlf"
"2785"	"Then click on the NEXT arrow."	"Następnie kliknij strzałkę DALEJ. &lt;/i&gt;"	"q00body_q00itemDirections_56fc785cdb7056.90765917_1_0"	"PISA_pol-POL_REA_R550-CliffPalace_en18_MS2022.xlf"
"582"	"&lt;b&gt;SOUTH POLE - Document 2&lt;/b&gt;"	"&lt;b&gt;BIEGUN POŁUDNIOWY - Dokument 2&lt;/b&gt;"	"R220_stimulus_title_50c7c0a1076996.03957408_0"	"PISA_pol-POL_REA_R220-SouthPole_en15_MS2022.xlf"
"5104"	"Click on one or more boxes to answer the question."	"Zaznacz kliknięciem jedną lub więcej odpowiedzi.&lt;/i&gt;"	"R566_question07_q07itemDirections_56fc786b8bda87.23847372_1_0"	"PISA_pol-POL_REA_R566-SkelligRocks_en18_MS2022.xlf"
"5775"	"Use drag and drop to answer the question."	"Aby odpowiedzieć na pytanie, użyj funkcji &quot;przeciągnij i upuść&quot;.&lt;/i&gt;"	"q2R569_question_q02itemDirections_56fc78794f33a1.24376468_1_0"	"PISA_pol-POL_REA_R569-TheCleanup_en18_MS2022.xlf"
"578"	"In the southern spring of 1912 the bodies of Scott and his companions, their travel diaries and last letters were found."	"Kiedy na półkulę południową zawitała wiosna 1912 r., odnaleziono ciała Scotta i jego towarzyszy, ich dzienniki podróży i ostatnie listy&amp;hellip;"	"R220_stimulus_p6_50c7c0a10461b9.65870088_0"	"PISA_pol-POL_REA_R220-SouthPole_en15_MS2022.xlf"
