"Segment"	"en-ZZ"	"it-IT"	"ID"	"File"
"2244"	"Low"	"Basso"	"js_translation_low_51940bae34a947.00199980_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2339"	"select"	"Seleziona"	"question3_1_o3_0_51940bae4043d8.73867895_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2572"	"To run this simulation, you can use the following controls:"	"Per eseguire la simulazione, puoi utilizzare i comandi qui sotto:"	"menu_1_menuP2_51940c101d3cd5.29603890_0"	"PISA_ita-ITA_SCI_S643-LightBulbs_en15_MS2022.xlf"
"936"	"lower"	"inferiori"	"S602_question4_S602Q04SELECT32_515e3a71ecff57.11412426_0"	"PISA_ita-ITA_SCI_S602-UrbanHeatIslandEffect_en15_MS2022.xlf"
"465"	"&lt;b&gt;Bacteria In Milk&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;BATTERI NEL LATTE&lt;/b&gt;&lt;br /&gt; Domanda"	"S428_question3_itemTitle3_50ec5146dd8fa5.37054668_0"	"PISA_ita-ITA_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"2541"	"&lt;b&gt;Oil Spills&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Fuoriuscite di petrolio&lt;/b&gt;&lt;br /&gt; Domanda"	"S638_question5_itemTitle5_51804fe18b9630.39685907_0"	"PISA_ita-ITA_SCI_S638-OilSpills_en15_MS2022.xlf"
"2466"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Leggi l'introduzione, poi clicca sulla freccia del pulsante AVANTI.&lt;/i&gt;"	"S638_question0_itemDirections0_51804fe179a0d0.36675138_0"	"PISA_ita-ITA_SCI_S638-OilSpills_en15_MS2022.xlf"
"2452"	"Medium"	"Medio"	"stimulus2_1_stimulus2_37_51940bae4fb717.07805933_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2304"	"To run this simulation, you can use the following controls:"	"Per eseguire la simulazione, puoi utilizzare i comandi qui sotto:"	"menu_1_menuP2_51940bae3962f0.36724953_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2458"	"High"	"Alto"	"stimulus2_1_stimulus2_46_51940bae4fd1e3.66045354_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2455"	"None"	"Assente"	"stimulus2_1_stimulus2_43_51940bae4fc8e8.55900256_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2456"	"Low"	"Basso"	"stimulus2_1_stimulus2_44_51940bae4fcc02.17470008_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"1138"	"Explain why.&lt;br /&gt;"	"Spiega il perché.&lt;br /&gt;"	"S604_question4_q45_51804e6bc71e39.55952968_0"	"PISA_ita-ITA_SCI_S604-WaterFromFog_en15_MS2022.xlf"
"237"	"120°C"	"120 °C"	"S413_question3_q3t1tr2td2_50ec41a7ac28e2.73742938_0"	"PISA_ita-ITA_SCI_S413-PlasticAge_en15_MS2022.xlf"
"2779"	"&lt;i&gt;Read the introduction. Then click on the NEXT arrow.&lt;/i&gt;"	"&lt;i&gt;Leggi l'introduzione, poi clicca sulla freccia del pulsante AVANTI.&lt;/i&gt;"	"question0_1_itemDirections00_51940c10345e61.42502127_0"	"PISA_ita-ITA_SCI_S646-Nanoparticles_en15_MS2022.xlf"
"454"	"&lt;i&gt;Refer to &quot;Graph 1&quot; on the right. Click on a choice to answer the question.&lt;/i&gt;"	"&lt;i&gt;Fai riferimento al «Grafico 1» presentato sulla destra. Per rispondere alla domanda, clicca su una delle alternative.&lt;/i&gt;"	"S428_question2_itemDirections2_50ec5146dbdfd1.40280540_0"	"PISA_ita-ITA_SCI_S428-BacteriaInMilk_en15_MS2022.xlf"
"2505"	"&lt;b&gt;Oil Spills&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Fuoriuscite di petrolio&lt;/b&gt;&lt;br /&gt; Domanda"	"S638_question3_qitemTitle3_51804fe18524e4.56349804_0"	"PISA_ita-ITA_SCI_S638-OilSpills_en15_MS2022.xlf"
"1964"	"S627 Car Tyres Q03"	"S627 Pneumatici per auto Q03"	"S627_question3_unknownID_51740713b48de2.13083217_0"	"PISA_ita-ITA_SCI_S627-CarTyres_en15_MS2022.xlf"
"645"	"Bacteria"	"I batteri"	"S478_question1_question1_3_50ed1cf2667ab5.73527217_0"	"PISA_ita-ITA_SCI_S478-Antibiotics_en15_MS2022.xlf"
"2343"	"select"	"Seleziona"	"question3_1_o3b_0_51940bae404d70.24748279_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2490"	"&lt;b&gt;Oil Spills&lt;/b&gt;&lt;br /&gt; Question"	"&lt;b&gt;Fuoriuscite di petrolio&lt;/b&gt;&lt;br /&gt; Domanda"	"S638_question2_itemTitle2_51804fe1801178.77719073_0"	"PISA_ita-ITA_SCI_S638-OilSpills_en15_MS2022.xlf"
"2328"	"In this simulation, you will be able to explore how the level of fishing of cod and herring affects the biomass of each type of organism in the bay after a five-year period."	"Questa simulazione ti permette di esaminare come i livelli di pesca al merluzzo e all'aringa influenzano la biomassa di ciascun tipo di organismo nella baia dopo un periodo di cinque anni."	"question2_1_P21_51940bae3e5413.17982633_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
"2108"	"This simulation allows you to explore the effect of a vaccination on the spread of an infectious disease in a population of people exposed to the disease."	"Questa simulazione ti consente di esaminare l'effetto di una vaccinazione sulla diffusione di una malattia infettiva in una popolazione di persone esposte a tale malattia."	"question000_1_q000P1_5193fde5990cf3.01147251_0"	"PISA_ita-ITA_SCI_S634-Vaccination_en15_MS2022.xlf"
"2448"	"Level of Fishing"	"Livello di pesca"	"stimulus2_1_stimulus2_31_51940bae4fa128.34901386_0"	"PISA_ita-ITA_SCI_S635-SaveTheFish_en15_MS2022.xlf"
