"Segment"	"en-ZZ"	"es-UY"	"ID"	"File"
"2494"	"To run this simulation, follow these steps:"	"Para ver cómo funciona la simulación, sigue estos pasos:"	"menu_1_aMenu_part1_p1_5c9d213730b7b1.28131570_0"	"PISA_esp-URY_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"4632"	"Explain your answer and include numerical values to support your explanation."	"Explica tu respuesta e incluye números que la justifiquen."	"q3MA154_question_q3p3_5c9d21655e78d5.34923288_0"	"PISA_esp-URY_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2464"	"To run this simulation, follow these steps:"	"Para ver cómo funciona la simulación, sigue estos pasos:"	"MA128_questionS3_q3p1_2_5c9d21372c05c8.86619113_0"	"PISA_esp-URY_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"2527"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"question0a_1_itemDirections00_5c9d214b76c282.48085737_1_0"	"PISA_esp-URY_MAT_MA129-ShelvingUnit_en21_MS2022.xlf"
"2480"	"Click on either &lt;b&gt;True&lt;/b&gt; or &lt;b&gt;False&lt;/b&gt; for each statement."	"Haz clic en &lt;b&gt;Verdadera&lt;/b&gt; o &lt;b&gt;Falsa&lt;/b&gt; para cada una de las afirmaciones de la tabla de abajo."	"MA128q04_question_q4p1_5c9d21372dc083.05811723_1_0"	"PISA_esp-URY_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"1171"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"question0a_1_itemDirections00_5c9d214a819cf9.74104060_1_0"	"PISA_esp-URY_MAT_MA114-Honey_en21_MS2022.xlf"
"4578"	"A"	"Z"	"MA154_stimulus1_img1aLbl3_5c9d2165588bc7.82795793_0"	"PISA_esp-URY_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4561"	"To run this simulation, follow these steps:"	"Para ver cómo funciona la simulación, sigue estos pasos:"	"menu2_1_aMenu_part1_p1_5c9d21374c4da1.40935501_0"	"PISA_esp-URY_MAT_MA153-Gears_en21_MS2022.xlf"
"4580"	"D"	"G"	"MA154_stimulus1_img1bLbl2_5c9d2165588dd1.17990179_0"	"PISA_esp-URY_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4551"	"To run this simulation, follow these steps:"	"Para ver cómo funciona la simulación, sigue estos pasos:"	"menu_1_aMenu_part1_p1_5c9d21374af239.64060952_0"	"PISA_esp-URY_MAT_MA153-Gears_en21_MS2022.xlf"
"4597"	"D"	"G"	"MA154_stimulus3_img2Lbl2_5c9d21655aa2b4.02398709_0"	"PISA_esp-URY_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"891"	"To run this simulation, follow these steps:"	"Para utilizar la calculadora, sigue estos pasos:"	"q00body_q0p1_5c9d2136e26543.48980409_0"	"PISA_esp-URY_MAT_MA112-Metabolism_en21_MS2022.xlf"
"949"	"Weight"	"Peso"	"js_translation_colHeader4_5c9d2136e7afe3.08105677_0"	"PISA_esp-URY_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4577"	"D"	"G"	"MA154_stimulus1_img1aLbl2_5c9d2165588ab8.21634755_0"	"PISA_esp-URY_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3488"	"Click on one or more boxes to answer the question."	"Haz clic en dos celdas para responder a la pregunta."	"q3CMA137_question_q3itemDirections_5c9d2164739181.43159279_1_0"	"PISA_esp-URY_MAT_MA137-FootballTournament_en21_MS2022.xlf"
"2448"	"Using the number keys, type your answers to the question."	"Escribe tu respuesta a la pregunta usando el teclado numérico."	"MA128q02_question_q02itemDirections_5c9d21372a66a8.78895134_1_0"	"PISA_esp-URY_MAT_MA128-SalinityOfWater_en21_MS2022.xlf"
"1716"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"question0a_1_itemDirections00_5c9d214b0026f2.42195434_1_0"	"PISA_esp-URY_MAT_MA121-MobilePhoneReviews_en21_MS2022.xlf"
"956"	"To run this simulation, follow these steps:"	"Para utilizar la calculadora, sigue estos pasos:"	"menu_1_aMenu_part1_p1_5c9d2136e90d65.41091853_0"	"PISA_esp-URY_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4015"	"Explain your answer and include numerical values to support your explanation."	"Explica tu respuesta e incluye números que la justifiquen."	"MA146q3_question_q3p2_5c9d2164ee4c90.34674865_0"	"PISA_esp-URY_MAT_MA146-Fuel_en21_MS2022.xlf"
"948"	"Height"	"Altura"	"js_translation_colHeader3_5c9d2136e7a755.97366509_0"	"PISA_esp-URY_MAT_MA112-Metabolism_en21_MS2022.xlf"
"4590"	"D"	"G"	"MA154_stimulus2_img2Lbl2_5c9d2165598ae0.74047303_0"	"PISA_esp-URY_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"2187"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"question0a_1_itemDirections00_5c9d214b4ef0e1.47653790_1_0"	"PISA_esp-URY_MAT_MA126-Robot_en21_MS2022.xlf"
"5075"	"Statement"	"Pregunta"	"q1MA161_question_q1tr1th1_5c9d2137a0deb4.05869160_0"	"PISA_esp-URY_MAT_MA161-ForestedAreas_en21_MS2022.xlf"
"2693"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"question0a_1_itemDirections00_5c9d214b887736.20535767_1_0"	"PISA_esp-URY_MAT_MA130-SleepNReactionTime_en21_MS2022.xlf"
"1379"	"Then click on the NEXT arrow."	"Después haz clic en la flecha SIGUIENTE."	"question0a_1_itemDirections00_5c9d214aab7211.94558881_1_0"	"PISA_esp-URY_MAT_MA117-MixingPaint_en21_MS2022.xlf"
"4581"	"A"	"Z"	"MA154_stimulus1_img1bLbl3_5c9d2165588ed8.45765769_0"	"PISA_esp-URY_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"4591"	"A"	"Z"	"MA154_stimulus2_img2Lbl3_5c9d2165598be7.99281808_0"	"PISA_esp-URY_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"1039"	"84+"	"85+"	"MA113S02_stimulus_tr10td7_5c9d214a666350.37673801_0"	"PISA_esp-URY_MAT_MA113-HeartRate_en21_MS2022.xlf"
"4598"	"A"	"Z"	"MA154_stimulus3_img2Lbl3_5c9d21655aa3a4.29260706_0"	"PISA_esp-URY_MAT_MA154-CompanyLogo_en21_MS2022.xlf"
"3864"	"269 kJ"	"276 kJ"	"MA144_stimulusb_rr3c2_5c9d2164ccaf11.37166809_0"	"PISA_esp-URY_MAT_MA144-Yogurt_en21_MS2022.xlf"
"641"	"To run this simulation, follow these steps:"	"Para ver cómo funciona la simulación, sigue estos pasos:"	"menu_1_aMenu_part1_p2_5c9d2136c729d4.65758288_0"	"PISA_esp-URY_MAT_MA108-Fountains_en21_MS2022.xlf"
"3981"	"Litres"	"Litros"	"MA146_stimulus3_liters_5c9d2164e9e439.48235083_0"	"PISA_esp-URY_MAT_MA146-Fuel_en21_MS2022.xlf"
"4534"	"To run this simulation, follow these steps:"	"Para ver cómo funciona la simulación, sigue estos pasos:"	"MA153_questionS3_q0ap1_5c9d2137481033.59674945_0"	"PISA_esp-URY_MAT_MA153-Gears_en21_MS2022.xlf"
"4238"	"Click on one or more boxes to answer the question."	"Haz clic en una o varias celdas para responder a la pregunta."	"q1MA149_question_q1itemDirections_5c9d21652ae393.23843683_1_0"	"PISA_esp-URY_MAT_MA149-FloorArea_en21_MS2022.xlf"
