"Segment"	"en-ZZ"	"lv-LV"	"ID"	"File"
"3694"	"Click on a choice to answer the question.&lt;/i&gt;"	"Noklikšķini uz atbildes varianta, lai atbildētu uz jautājumu. &lt;/i&gt;"	"R558_question6_itemDirections_56fc786b0f3f55.03223461_1_0"	"PISA_lav-LVA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"2356"	"&lt;b&gt;Book Survey&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Grāmatu aptauja&lt;/b&gt;&lt;br /&gt;"	"R547_question9_itemTitle_56fc782e1235b3.18384103_0_0"	"PISA_lav-LVA_REA_R547-BookSurvey_en18_MS2022.xlf"
"587"	"Antarctic Circle"	"Dienvidu polārais
loks"	"R220_stimulus_label5_50d3746bdc7b49.16883342_0"	"PISA_lav-LVA_REA_R220-SouthPole_en15_MS2022.xlf"
"3454"	"Click on a choice to answer the question.&lt;/i&gt;"	"Noklikšķini uz atbildes varianta, lai atbildētu uz jautājumu. &lt;/i&gt;"	"R556_question5_itemDirections_56fc783ac89735.55151724_1_0"	"PISA_lav-LVA_REA_R556-Microlending_en18_MS2022.xlf"
"4668"	"Click on the NEXT arrow to read the brochure."	"Uzklikšķini uz bultiņas  un izlasi brošūru."	"q00body_q00p3_56fc783b5af5d9.50141633_0"	"PISA_lav-LVA_REA_R564-SebastiaoSalgado_en18_MS2022.xlf"
"3497"	"Click on a choice to answer the question.&lt;/i&gt;"	"Noklikšķini uz atbildes varianta, lai atbildētu uz jautājumu. &lt;/i&gt;"	"R556_question9_itemDirections9_56fc783add6b18.78125777_1_0"	"PISA_lav-LVA_REA_R556-Microlending_en18_MS2022.xlf"
"3617"	"&lt;i&gt;Read the information below."	"&lt;i&gt;Izlasi zemāk redzamo informāciju."	"question00b_1_itemDirections00_56fc786b079021.97854133_0_0"	"PISA_lav-LVA_REA_R558-MicrowaveOvens_en18_MS2022.xlf"
"5520"	"Refer to the Web Search on the right."	"Izmanto informāciju no tīmekļa meklēšanas, kas atrodas pa labi."	"R568_question01_q01itemDirections_56fc784aa350d1.09869742_0_0"	"PISA_lav-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"3778"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q00body_q00itemDirections_56fc783b2348f3.80349298_1_0"	"PISA_lav-LVA_REA_R559-NaliniNadkarni_en18_MS2022.xlf"
"5825"	"Playground"	"Rotaļu laukumā"	"q5R569_question_question05_4_56fc7879535184.90433446_0"	"PISA_lav-LVA_REA_R569-TheCleanup_en18_MS2022.xlf"
"5649"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q0b-body_q0b-itemDirections_56fc784ab20015.89980695_1_0"	"PISA_lav-LVA_REA_R568-SpaceDebris_en18_MS2022.xlf"
"5002"	"Then click on the NEXT arrow."	"tad noklikšķini uz bultiņas."	"q00a-body_q00a-itemDirections_56fc786b7b49b2.24533594_1_0"	"PISA_lav-LVA_REA_R566-SkelligRocks_en18_MS2022.xlf"
"2136"	"&lt;b&gt;Machu Picchu&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Makču Pikču &lt;/b&gt;&lt;br /&gt;"	"R545_question02_Q07itemTitle_56fc7821b1a680.87585418_0_0"	"PISA_lav-LVA_REA_R545-MachuPicchu_en18_MS2022.xlf"
"2281"	"&lt;i&gt;Refer to the School’s Email on the right."	"&lt;i&gt; Izmanto informāciju no skolas e-pasta, kas atrodas pa labi."	"R547_question01_itemDirections_56fc782e08b391.57814376_0_0"	"PISA_lav-LVA_REA_R547-BookSurvey_en18_MS2022.xlf"
"2800"	"Summer"	"Vasarā"	"R550_question01_question01_4_56fc785cdd69d2.83330291_0"	"PISA_lav-LVA_REA_R550-CliffPalace_en18_MS2022.xlf"
"4916"	"Type your answer to the question.&lt;/i&gt;"	"Uzraksti savu atbildi uz jautājumu. &lt;/i&gt;"	"R565_question9_itemDirections_56fc785d64abb5.53582901_1_0"	"PISA_lav-LVA_REA_R565-SittingDisease_en18_MS2022.xlf"
"1125"	"&lt;b&gt;Building a Legend&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Leģendas radīšana &lt;/b&gt;&lt;br /&gt;"	"R540Q03Body_Q03itemTitle_56fc7820b2dd64.25916814_0_0"	"PISA_lav-LVA_REA_R540-BuildingALegend_en18_MS2022.xlf"
