"Segment"	"en-ZZ"	"fr-CH"	"ID"	"File"
"2101"	"Cette affirmation est-elle vraie ou fausse ?"	"Selon la brochure, cette affirmation est-elle vraie ou fausse ?"	"R545_question03_Q03tr1th1_56fc79295e5649.51517362_0"	"PISA_fra-CHE_REA_R545-MachuPicchu_fr18_MS2022.xlf"
"2932"	"&lt;b&gt;Objet :&lt;/b&gt; RE : Bénévolat – FestiRock"	"&lt;b&gt;Objet :&lt;/b&gt; Bénévolat &amp;ndash; FestiRock"	"pg1_stimulus_pg1-li3-4_56fd7937af7a42.26287821_0"	"PISA_fra-CHE_REA_R552-FestiRock_fr18_MS2022.xlf"
"5839"	"Tapez votre réponse à la question."	"Pour répondre à la question, cliquez sur l’un des choix de réponse puis tapez votre explication."	"q7R569_question_q7itemDirections_56fc78d566e609.44343682_1_0"	"PISA_fra-CHE_REA_R569-TheCleanup_fr18_MS2022.xlf"
"304"	"S"	"D"	"R219_stimulus_stimulus_10_50c7b734a5ae51.20280814_0"	"PISA_fra-CHE_REA_R219-Employment_en15_MS2022.xlf"
"5356"	"1,95 m"	"1,90 m"	"R567_question09_q09tr7td3_56fc78d51e82f5.88439742_0"	"PISA_fra-CHE_REA_R567-SmokeJumpers_fr18_MS2022.xlf"
"1060"	"Town/ City:"	"Ville / Localité"	"R466_stimulus_line10_50c7c906e7dfc7.60112614_0"	"PISA_fra-CHE_REA_R466-WorkRight_en15_MS2022.xlf"
"1889"	"Pour répondre à la question, cliquez sur l’un des choix de réponse puis tapez votre explication.&lt;/i&gt;"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"R544_question11_itemDirections_56fd7267087389.47807259_1_0"	"PISA_fra-CHE_REA_R544-Tesla_fr18_MS2022.xlf"
"313"	"PHONE"	"TÉLÉPHONE"	"R219_stimulus_sect3Line2span3_50c7b734a80a93.03435444_0"	"PISA_fra-CHE_REA_R219-Employment_en15_MS2022.xlf"
"3279"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Pour répondre à la question, cliquez sur l’un des résultats de recherche.&lt;/i&gt;"	"R553_question5_q05itemDirections_56fc78fd82e2f5.26388995_1_0"	"PISA_fra-CHE_REA_R553-HealthForum_fr18_MS2022.xlf"
"2102"	"Vraie"	"Vrai"	"R545_question03_Q03tr1th2_56fc79295e5a36.15591265_0"	"PISA_fra-CHE_REA_R545-MachuPicchu_fr18_MS2022.xlf"
"1051"	"&lt;b&gt;10 Years £100 offer&lt;br /&gt; Sogec Management&lt;br /&gt; 41 Shore Rd, Pittville&lt;br /&gt; Hampshire, PI15 9SA&lt;/b&gt;&lt;br /&gt;"	"&lt;b&gt;Offre 10 ans - 100 Frs&lt;br /&gt; Direction Sagic &lt;br /&gt; 41, rue des Bouleaux&lt;br /&gt; 2000 Neuchâtel&lt;br /&gt;Suisse&lt;/b&gt;"	"R466_stimulus_line5b_50c7c906e7bb16.21871863_0"	"PISA_fra-CHE_REA_R466-WorkRight_en15_MS2022.xlf"
"1046"	"&lt;i&gt;*Stationery, print and promotion products, technology supplies. See the general terms of the offer.&lt;/i&gt;"	"&lt;i&gt;* Papeterie, matériel d’impression et de promotion, produits informatiques. Voir les conditions générales de l’offre.&lt;/i&gt;"	"R466_stimulus_line3_50c7c906e7abc0.72506837_0"	"PISA_fra-CHE_REA_R466-WorkRight_en15_MS2022.xlf"
"1049"	"&gt; For purchases between £60 and £149.99, Work Right will reimburse you £20.&lt;br /&gt; &gt; For purchases between £150 and £299.99, Work Right will reimburse you £50.&lt;br /&gt; &gt; For purchases of £300 or more, Work Right will reimburse you £100.&lt;br /&gt;"	"&gt; O-Buro rembourse &lt;span id=&quot;q3key&quot;&gt;20&lt;/span&gt; Frs sur des achats entre 60 et 149,95 Frs.&lt;br /&gt; &gt; O-Buro rembourse 50 Frs sur des achats entre 150 et 299,95 Frs.&lt;br /&gt; &gt; O-Buro rembourse 100 Frs sur des achats de 300 Frs ou plus. &lt;br /&gt;"	"R466_stimulus_line5_50c7c906e7b5f3.61051267_0"	"PISA_fra-CHE_REA_R466-WorkRight_en15_MS2022.xlf"
"70"	"R102 Shirts"	"R102 CHEMISES"	"R102_stimulus_unknownID_50c7ae64395916.21219507_0"	"PISA_fra-CHE_REA_R102-Shirts_en15_MS2022.xlf"
"1354"	"Référez-vous à la page web à droite."	"Référez-vous au prospectus et à la page web à droite en cliquant sur chacun des onglets."	"Q10_question_Q10itemDirections_56fc79288147d7.55967466_0_0"	"PISA_fra-CHE_REA_R541-Plastic_fr18_MS2022.xlf"
"1050"	"&lt;b&gt;2/ Complete&lt;/b&gt; the form below.&lt;br /&gt; &lt;b&gt;3/ Attach&lt;/b&gt; a copy of your proof of purchase as well as the bar code(s) or price tag(s) of the original products.&lt;br /&gt; &lt;b&gt;4/ Send&lt;/b&gt;, within 15 days of purchase, to the following address:&lt;br /&gt;"	"&lt;b&gt;2) Complétez &lt;/b&gt; le formulaire ci-dessous.&lt;br /&gt; &lt;b&gt;3) Joignez-y &lt;/b&gt; une photocopie de votre preuve d’achat ainsi que le ou les codes-barres ou étiquettes de prix des produits achetés.&lt;br /&gt; &lt;b&gt;4) Envoyez &lt;/b&gt;, le tout dans les 15 jours suivant l’achat à l’adresse suivante :&lt;br /&gt;"	"R466_stimulus_section2_50c7c906e7b862.33666737_0"	"PISA_fra-CHE_REA_R466-WorkRight_en15_MS2022.xlf"
"2103"	"Fausse"	"Faux"	"R545_question03_Q03tr1th3_56fc79295e5cd9.02386534_0"	"PISA_fra-CHE_REA_R545-MachuPicchu_fr18_MS2022.xlf"
"2100"	"Cliquez sur &lt;b&gt;Vraie&lt;/b&gt; ou &lt;b&gt;Fausse&lt;/b&gt; pour chaque affirmation."	"Cliquez sur &lt;b&gt;Vrai&lt;/b&gt; ou &lt;b&gt;Faux&lt;/b&gt; pour chaque affirmation."	"R545_question03_Q03p1_56fc79295e5151.43519564_1_0"	"PISA_fra-CHE_REA_R545-MachuPicchu_fr18_MS2022.xlf"
"83"	"R102 Shirts"	"R102 CHEMISES"	"R102_stimulus_unknownID_50c7ae643c93c9.67398874_0"	"PISA_fra-CHE_REA_R102-Shirts_en15_MS2022.xlf"
"1072"	"GENERAL TERMS OF THE 10 YEARS £100 OFFER&lt;br /&gt; 1.  The promotion excludes wholesalers and retailers who sell this range of products. 2.  The offer only concerns the following ranges of Work Right products: Stationery, print and promotion products, technology supplies. Any other range of Work Right products is excluded from the offer, in particular furniture products."	"CONDITIONS GÉNÉRALES DE L’OFFRE 10 ANS - 100 Frs&lt;br /&gt; 1. Cette promotion n’est pas ouverte aux grossistes et détaillants qui vendent cette gamme de produits.  2. L’offre porte uniquement sur les gammes de produits O-Buro suivantes : papeterie, matériel d’impression et de promotion, produits informatiques. Sont exclues de l’offre toutes les autres gammes de produits O-Buro, dont celle du mobilier."	"R466_stimulus_section4_50c7c906e81757.83452884_0"	"PISA_fra-CHE_REA_R466-WorkRight_en15_MS2022.xlf"
"495"	"On 14 December 1911, Amundsen and his companions reached the legendary 90°. On 25 January 1912, the victorious team was back at Framheim, the return journey completed in 97 days."	"Le 14 décembre 1911, Amundsen et ses compagnons atteignent les mythiques 90°. Le 25 janvier 1912, l'équipe victorieuse est de retour à Framheim : trajet aller-retour accompli en 97 jours.."	"R220_stimulus_p4_50c7c00a30d2c3.24397577_0"	"PISA_fra-CHE_REA_R220-SouthPole_en15_MS2022.xlf"
"5831"	"Pour répondre à la question, cliquez sur l’un des choix de réponse puis tapez votre explication.&lt;/i&gt;"	"Tapez votre réponse à la question.&lt;/i&gt;"	"q6R569_question_q06itemDirections_56fc78d5652cb8.65914329_1_0"	"PISA_fra-CHE_REA_R569-TheCleanup_fr18_MS2022.xlf"
"301"	"T"	"J"	"R219_stimulus_stimulus_7_50c7b734a5a236.85373069_0"	"PISA_fra-CHE_REA_R219-Employment_en15_MS2022.xlf"
"1042"	"is 10 years old&lt;br /&gt; And will reimburse you up to £"	"a 10 ans &lt;br /&gt; Et vous rembourse jusqu’à"	"R466_stimulus_line1_50c7c906e7a142.91031281_0"	"PISA_fra-CHE_REA_R466-WorkRight_en15_MS2022.xlf"
"325"	"TO"	"AU"	"R219_stimulus_sect4Line3span4_50c7b734a84de0.05623826_0"	"PISA_fra-CHE_REA_R219-Employment_en15_MS2022.xlf"
"1071"	"&lt;b&gt;Important!  Do not forget to attach:&lt;/b&gt;&lt;br /&gt; — A copy of your proof of purchase&lt;br /&gt; — The bar code(s) or price tag(s) of the original products&lt;br /&gt;"	"&lt;b&gt;Attention ! N’oubliez pas de joindre :&lt;/b&gt;&lt;br /&gt; &amp;mdash; Une photocopie de votre preuve d’achat&lt;br /&gt; &amp;mdash; Le ou les codes-barres ou étiquettes de prix des produits achetés&lt;br /&gt;"	"R466_stimulus_sect3right_50c7c906e80ee7.00474138_0"	"PISA_fra-CHE_REA_R466-WorkRight_en15_MS2022.xlf"
"4133"	"Tapez votre réponse à la question."	"Pour répondre à la question, cliquez sur l’un des choix de réponse puis tapez votre explication."	"R561_question02_q02itemDirections_56fc78f05d1325.31880311_1_0"	"PISA_fra-CHE_REA_R561-OlympicFlag_fr18_MS2022.xlf"
"321"	"PHONE"	"TÉLÉPHONE"	"R219_stimulus_sect4Line2span3_50c7b734a83850.23252208_0"	"PISA_fra-CHE_REA_R219-Employment_en15_MS2022.xlf"
"4508"	"Pour répondre à la question, cliquez sur l’un des choix de réponse.&lt;/i&gt;"	"Tapez votre réponse à la question.&lt;/i&gt;"	"R563_question01_q01itemDirections_56fc78e0917043.40115027_1_0"	"PISA_fra-CHE_REA_R563-QuestionOfTheWeek_fr18_MS2022.xlf"
